time_hours,height_arcsec
2.738216795920667135e-01,1.166146654141895738e+02
5.805232594560054693e-01,1.196119009840926140e+02
1.059744477993409539e+00,1.246072936005976146e+02
1.481459150306325689e+00,1.276045291705006548e+02
1.845667276394752587e+00,1.306017647404036666e+02
2.190706553741684104e+00,1.355971573569086956e+02
2.497408133605622638e+00,1.415916284967147192e+02
2.842447410952553710e+00,1.485851781598217656e+02
3.321668629489957780e+00,1.585759633928318237e+02
3.724214453061377661e+00,1.715639841957448937e+02
4.088422579149805003e+00,1.875492405685609754e+02
4.452630705238232345e+00,2.055326539879791028e+02
4.720994587619178340e+00,2.255142244539991623e+02
4.874345377551147607e+00,2.484930304899222904e+02
5.046865016224613143e+00,2.744690720957484587e+02
5.238553503639574949e+00,3.104358989345846567e+02
5.372735444830048834e+00,3.364119405404107965e+02
5.411073142313040485e+00,3.543953539598288671e+02
